#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-02-06-12-28-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1770380113.797438	CVtvBo27403yuQicy6	172.28.28.139	38041	91.189.91.157	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1012692803.523995	0
1770380114.244257	CVtvBo27403yuQicy6	172.28.28.139	38041	91.189.91.157	123	4	4	2	1.000000	0.000000	0.042816	0.001526	132.163.96.1	1770379130.255733	1012692803.523995	1770380113.192490	1770380113.192533	0
1770380145.459237	C4oBcr4lGPN7MuINVi	172.28.28.139	60272	91.189.91.157	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1116453123.781846	0
1770380145.817250	C4oBcr4lGPN7MuINVi	172.28.28.139	60272	91.189.91.157	123	4	4	2	1.000000	0.000000	0.042816	0.001556	132.163.96.1	1770379130.255733	1116453123.781846	1770380143.184990	1770380143.185117	0
1770380175.508611	CDsiko2PFNKPpQogFe	172.28.28.139	45395	91.189.91.157	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1880467284.196911	0
1770380175.942413	CDsiko2PFNKPpQogFe	172.28.28.139	45395	91.189.91.157	123	4	4	2	1.000000	0.000000	0.042816	0.001587	132.163.96.1	1770379130.255733	1880467284.196911	1770380173.442302	1770380173.442337	0
1770380205.719926	CcTw2m1X4umslQYeId	172.28.28.139	52359	91.189.91.157	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	321670998.436777	0
1770380206.119079	CcTw2m1X4umslQYeId	172.28.28.139	52359	91.189.91.157	123	4	4	2	1.000000	0.000000	0.042801	0.000549	132.163.96.1	1770380173.455177	321670998.436777	1770380203.416173	1770380203.416255	0
1770380235.728769	CwlSKM1bto4A2IMXx7	172.28.28.139	42442	91.189.91.157	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-81114738.638251	0
1770380236.205137	CwlSKM1bto4A2IMXx7	172.28.28.139	42442	91.189.91.157	123	4	4	2	1.000000	0.000000	0.042801	0.000580	132.163.96.1	1770380173.455177	-81114738.638251	1770380233.582061	1770380233.582111	0
1770380265.835916	CG6tPA4gJPoKIX3f29	172.28.28.139	40008	91.189.91.157	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-36488242.443666	0
1770380266.417996	CG6tPA4gJPoKIX3f29	172.28.28.139	40008	91.189.91.157	123	4	4	2	1.000000	0.000000	0.042801	0.000610	132.163.96.1	1770380173.455177	-36488242.443666	1770380263.696033	1770380263.696118	0
1770380296.156668	CF9jke1pOogDLcMyN4	172.28.28.139	57407	91.189.91.157	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	748344244.219754	0
1770380296.636880	CF9jke1pOogDLcMyN4	172.28.28.139	57407	91.189.91.157	123	4	4	2	1.000000	0.000000	0.042801	0.000641	132.163.96.1	1770380173.455177	748344244.219754	1770380293.822798	1770380293.822860	0
